time,Vvrain,Vvgate,IM1
7.566063385410281e-05,5.088261e+01,4.556683e-01,-6.116640e-07
7.580677671124797e-05,5.088153e+01,4.546990e-01,-6.329255e-07
7.595291956839313e-05,5.088045e+01,4.537477e-01,-6.527049e-07
7.609906242553828e-05,5.087938e+01,4.528144e-01,-6.710023e-07
7.624520528268344e-05,5.087831e+01,4.518991e-01,-6.878176e-07
7.624620528268346e-05,5.087830e+01,4.518929e-01,-6.879308e-07
7.639234813982862e-05,5.087724e+01,4.509922e-01,-7.037507e-07
7.653849099697377e-05,5.087618e+01,4.501046e-01,-7.187028e-07
7.668463385411893e-05,5.087513e+01,4.492301e-01,-7.327870e-07
7.683077671126409e-05,5.087408e+01,4.483688e-01,-7.460034e-07
7.697691956840926e-05,5.087304e+01,4.475206e-01,-7.583519e-07
7.712306242555440e-05,5.087200e+01,4.466856e-01,-7.698326e-07
7.726920528269957e-05,5.087096e+01,4.458637e-01,-7.804454e-07
7.727020528269958e-05,5.087096e+01,4.458581e-01,-7.805166e-07
7.741634813984474e-05,5.086993e+01,4.450472e-01,-7.905076e-07
7.756249099698989e-05,5.086891e+01,4.442465e-01,-7.999589e-07
7.770863385413505e-05,5.086789e+01,4.434557e-01,-8.088707e-07
7.785477671128022e-05,5.086687e+01,4.426750e-01,-8.172428e-07
7.800091956842538e-05,5.086586e+01,4.419044e-01,-8.250754e-07
7.814706242557053e-05,5.086485e+01,4.411438e-01,-8.323683e-07
7.829320528271569e-05,5.086385e+01,4.403933e-01,-8.391216e-07
7.829420528271570e-05,5.086385e+01,4.403882e-01,-8.391670e-07
7.844034813986087e-05,5.086285e+01,4.396464e-01,-8.455171e-07
7.858649099700602e-05,5.086186e+01,4.389125e-01,-8.515178e-07
7.873263385415118e-05,5.086087e+01,4.381866e-01,-8.571689e-07
7.887877671129634e-05,5.085988e+01,4.374687e-01,-8.624706e-07
7.902491956844150e-05,5.085890e+01,4.367587e-01,-8.674228e-07
7.917106242558665e-05,5.085793e+01,4.360567e-01,-8.720255e-07
7.931720528273181e-05,5.085695e+01,4.353626e-01,-8.762786e-07
7.931820528273183e-05,5.085695e+01,4.353579e-01,-8.763071e-07
8.000089999999997e-05,5.085246e+01,4.322044e-01,-8.928985e-07
8.000100000000001e-05,5.085246e+01,4.322425e-01,-5.107207e-06
8.000102806744313e-05,5.085246e+01,4.323264e-01,-1.517003e-05
8.000104375751379e-05,5.085246e+01,4.324454e-01,-3.098916e-05
8.000105859109455e-05,5.085246e+01,4.326167e-01,-5.575379e-05
8.000107033283847e-05,5.085246e+01,4.327854e-01,-8.131364e-05
8.000107651651221e-05,5.085246e+01,4.328906e-01,-9.766181e-05
8.000108763265255e-05,5.085246e+01,4.331084e-01,-1.320519e-04
8.000110000000004e-05,5.085246e+01,4.333804e-01,-1.764182e-04
8.000112473469502e-05,5.085247e+01,4.339650e-01,-2.759336e-04
8.000114922307228e-05,5.085247e+01,4.345615e-01,-3.798115e-04
8.000118396838405e-05,5.085247e+01,4.354292e-01,-5.295174e-04
8.000125345900753e-05,5.085249e+01,4.372028e-01,-8.233752e-04
8.000139244025451e-05,5.085250e+01,4.407530e-01,-1.364251e-03
8.000167040274846e-05,5.085254e+01,4.475697e-01,-2.264331e-03
8.000198034871622e-05,5.085257e+01,4.545098e-01,-2.985270e-03
8.000238415687669e-05,5.085259e+01,4.625998e-01,-3.566319e-03
8.000276077225154e-05,5.085260e+01,4.694690e-01,-3.868883e-03
8.000323721996545e-05,5.085260e+01,4.776015e-01,-4.056630e-03
8.000385502917093e-05,5.085261e+01,4.877464e-01,-4.163341e-03
8.000463079492774e-05,5.085261e+01,5.001726e-01,-4.202587e-03
8.000547154979294e-05,5.085260e+01,5.134140e-01,-4.195441e-03
8.000643853712494e-05,5.085260e+01,5.284574e-01,-4.165179e-03
8.000743853712496e-05,5.085260e+01,5.438778e-01,-4.130496e-03
8.000843853712497e-05,5.085259e+01,5.592295e-01,-4.104151e-03
8.000943853712499e-05,5.085259e+01,5.751332e-01,-4.166595e-03
8.001043853712500e-05,5.085261e+01,5.943898e-01,-4.655552e-03
8.001143853712502e-05,5.085266e+01,6.221974e-01,-6.067872e-03
8.001243853712504e-05,5.085276e+01,6.627518e-01,-8.508895e-03
8.001343853712505e-05,5.085288e+01,7.166753e-01,-1.153271e-02
8.001443853712507e-05,5.085300e+01,7.823265e-01,-1.460782e-02
8.001543853712508e-05,5.085312e+01,8.578346e-01,-1.744689e-02
8.001643853712510e-05,5.085323e+01,9.418114e-01,-1.997976e-02
8.001743853712511e-05,5.085333e+01,1.033254e+00,-2.222702e-02
8.001843853712513e-05,5.085343e+01,1.131299e+00,-2.421818e-02
8.001943853712515e-05,5.085351e+01,1.235125e+00,-2.597302e-02
8.002043853712516e-05,5.085359e+01,1.343949e+00,-2.750636e-02
8.002143853712518e-05,5.085366e+01,1.457041e+00,-2.883279e-02
8.002243853712519e-05,5.085373e+01,1.573733e+00,-2.996766e-02
8.002343853712521e-05,5.085379e+01,1.693417e+00,-3.092651e-02
8.002443853712522e-05,5.085384e+01,1.815538e+00,-3.172439e-02
8.002543853712524e-05,5.085389e+01,1.939593e+00,-3.237562e-02
8.002643853712526e-05,5.085393e+01,2.065128e+00,-3.289363e-02
8.002743853712527e-05,5.085397e+01,2.191732e+00,-3.329098e-02
8.002843853712529e-05,5.085400e+01,2.319035e+00,-3.357932e-02
8.002943853712530e-05,5.085403e+01,2.446704e+00,-3.376945e-02
8.003043853712532e-05,5.085406e+01,2.574443e+00,-3.387131e-02
8.003143853712533e-05,5.085408e+01,2.701984e+00,-3.389405e-02
8.003243853712535e-05,5.085410e+01,2.829092e+00,-3.384606e-02
8.003343853712537e-05,5.085411e+01,2.955554e+00,-3.373501e-02
8.003443853712538e-05,5.085413e+01,3.081187e+00,-3.356791e-02
8.003543853712540e-05,5.085413e+01,3.205823e+00,-3.335114e-02
8.003643853712541e-05,5.085414e+01,3.329320e+00,-3.309054e-02
8.003743853712543e-05,5.085415e+01,3.451551e+00,-3.279132e-02
8.003843853712545e-05,5.085415e+01,3.572405e+00,-3.245773e-02
8.003943853712546e-05,5.085415e+01,3.691787e+00,-3.208774e-02
8.004043853712548e-05,5.085415e+01,3.809613e+00,-3.162214e-02
8.004143853712549e-05,5.085412e+01,3.925790e+00,-3.052982e-02
8.004243853712551e-05,5.085394e+01,4.040113e+00,-2.557778e-02
8.004343853712552e-05,5.085315e+01,4.152018e+00,-5.286145e-03
