time	V(vdrain)	V(vgate)	Id(M1)
1.858542852707645e-07	4.203562e+00	4.946086e+00	1.030039e+00
1.868542852707803e-07	4.098897e+00	4.946345e+00	1.030120e+00
1.878542852707960e-07	3.996723e+00	4.946623e+00	1.030212e+00
1.888542852708118e-07	3.896619e+00	4.946916e+00	1.030312e+00
1.898542852708275e-07	3.798234e+00	4.947221e+00	1.030419e+00
1.918542852708590e-07	3.605510e+00	4.947865e+00	1.030649e+00
1.938542852708905e-07	3.416770e+00	4.948544e+00	1.030895e+00
1.954257138423438e-07	3.270991e+00	4.949099e+00	1.031098e+00
1.969971424137971e-07	3.125903e+00	4.949666e+00	1.031306e+00
1.985685709852504e-07	2.981505e+00	4.950244e+00	1.031516e+00
2.001399995567038e-07	2.837798e+00	4.950833e+00	1.031730e+00
2.017114281281571e-07	2.694782e+00	4.951434e+00	1.031948e+00
2.032828566996104e-07	2.552455e+00	4.952045e+00	1.032169e+00
2.048542852710637e-07	2.410820e+00	4.952668e+00	1.032393e+00
2.069971424139546e-07	2.217635e+00	4.953524e+00	1.032700e+00
2.091399995568454e-07	2.024633e+00	4.954407e+00	1.033010e+00
2.112828566997363e-07	1.831816e+00	4.955319e+00	1.033322e+00
2.134257138426272e-07	1.639183e+00	4.956259e+00	1.033636e+00
2.155685709855181e-07	1.446734e+00	4.957227e+00	1.033952e+00
2.177114281284090e-07	1.254468e+00	4.958223e+00	1.034270e+00
2.198542852712999e-07	1.062387e+00	4.959248e+00	1.034591e+00
2.218542852713314e-07	8.831404e-01	4.960259e+00	1.034892e+00
2.228542852713471e-07	7.938092e-01	4.960997e+00	1.035033e+00
2.238542852713628e-07	7.072419e-01	4.964046e+00	1.035090e+00
2.248542852713786e-07	6.287155e-01	4.973761e+00	1.035030e+00
2.258542852713943e-07	5.617046e-01	4.992919e+00	1.034955e+00
2.268542852714101e-07	5.056548e-01	5.020978e+00	1.034919e+00
2.278542852714258e-07	4.587904e-01	5.056417e+00	1.034913e+00
2.288542852714416e-07	4.195467e-01	5.097894e+00	1.034936e+00
2.298542852714573e-07	3.865213e-01	5.144217e+00	1.034985e+00
2.308542852714731e-07	3.585576e-01	5.194406e+00	1.035053e+00
2.318542852714888e-07	3.347079e-01	5.247652e+00	1.035138e+00
2.328542852715046e-07	3.142156e-01	5.303311e+00	1.035235e+00
2.338542852715203e-07	2.964762e-01	5.360868e+00	1.035343e+00
2.348542852715360e-07	2.810094e-01	5.419909e+00	1.035459e+00
2.358542852715518e-07	2.674320e-01	5.480106e+00	1.035582e+00
2.368542852715675e-07	2.554368e-01	5.541193e+00	1.035710e+00
2.378542852715833e-07	2.447760e-01	5.602954e+00	1.035842e+00
2.388542852715990e-07	2.352488e-01	5.665216e+00	1.035978e+00
2.398542852716148e-07	2.266909e-01	5.727835e+00	1.036116e+00
2.408542852716305e-07	2.189671e-01	5.790692e+00	1.036257e+00
2.418542852716463e-07	2.119655e-01	5.853690e+00	1.036400e+00
2.428542852716620e-07	2.055927e-01	5.916747e+00	1.036545e+00
2.438542852716778e-07	1.997703e-01	5.979793e+00	1.036690e+00
2.448542852716935e-07	1.944320e-01	6.042771e+00	1.036837e+00
2.458542852717092e-07	1.895216e-01	6.105632e+00	1.036986e+00
2.468542852717250e-07	1.849911e-01	6.168334e+00	1.037134e+00
2.478542852717407e-07	1.807991e-01	6.230842e+00	1.037284e+00
2.488542852717565e-07	1.769101e-01	6.293123e+00	1.037434e+00
2.498542852717722e-07	1.732931e-01	6.355154e+00	1.037585e+00
2.508542852717880e-07	1.699214e-01	6.416910e+00	1.037736e+00
2.518542852718037e-07	1.667713e-01	6.478374e+00	1.037888e+00
2.528542852718195e-07	1.638223e-01	6.539527e+00	1.038040e+00
2.538542852718352e-07	1.610560e-01	6.600356e+00	1.038193e+00
2.548542852718510e-07	1.584565e-01	6.660849e+00	1.038346e+00
