time	V(N001,Vo)	I(D1)	I(L1)
1.675691078261183e-05	-9.209912e-01	2.878459e-01	2.878459e-01
1.837845539130592e-05	-9.282336e-01	2.796732e-01	2.796732e-01
2.000000000000000e-05	-9.350710e-01	2.714812e-01	2.714812e-01
2.000083856678686e-05	-9.350748e-01	2.714769e-01	2.714770e-01
2.000088400250983e-05	2.205931e+00	-6.454459e+01	2.714769e-01
2.000090912855404e-05	4.067038e+00	-1.442773e+02	2.714772e-01
2.000094134038524e-05	6.815799e+00	-2.000380e+02	2.714780e-01
2.000095114025828e-05	6.820631e+00	-1.940642e+02	2.714783e-01
2.000096842971356e-05	7.139594e+00	-1.179733e+02	2.714789e-01
2.000097239273012e-05	8.439265e+00	-5.483646e+01	2.714790e-01
2.000097490943287e-05	8.710939e+00	-1.431865e+01	2.714791e-01
2.000097655580454e-05	8.770296e+00	-5.757387e+00	2.714792e-01
2.000097860493650e-05	8.801519e+00	-2.301618e+00	2.714792e-01
2.000098138486607e-05	8.814878e+00	-6.995773e-01	2.714794e-01
2.000098602459223e-05	8.818548e+00	-9.455077e-02	2.714795e-01
2.000099246828537e-05	8.818352e+00	2.896443e-03	2.714798e-01
2.000100000000000e-05	8.818395e+00	9.421936e-04	2.714801e-01
2.000100075317146e-05	8.818393e+00	7.162277e-04	2.714801e-01
2.000100225951439e-05	8.818389e+00	4.054942e-04	2.714802e-01
2.000100527220025e-05	8.818386e+00	1.358516e-04	2.714803e-01
2.000101129757195e-05	8.818385e+00	1.425417e-05	2.714805e-01
2.000102334831537e-05	8.818385e+00	-1.580122e-06	2.714810e-01
2.000104744980220e-05	8.818385e+00	2.441183e-07	2.714820e-01
2.000109565277587e-05	8.818384e+00	-2.692492e-07	2.714839e-01
2.000119205872320e-05	8.818382e+00	-7.299093e-08	2.714877e-01
2.000138487061786e-05	8.818379e+00	-1.590934e-07	2.714952e-01
2.000177049440719e-05	8.818374e+00	-1.187367e-07	2.715104e-01
2.000254174198583e-05	8.818362e+00	-1.382767e-07	2.715407e-01
2.000408423714313e-05	8.818337e+00	-1.286623e-07	2.716013e-01
2.000716922745773e-05	8.818290e+00	-1.334316e-07	2.717224e-01
2.001333920808692e-05	8.818193e+00	-1.310571e-07	2.719648e-01
2.086501154091750e-05	8.804397e+00	-1.315695e-07	3.053139e-01
2.171668387374808e-05	8.790011e+00	-1.319734e-07	3.385306e-01
2.256835620657867e-05	8.775036e+00	-1.322688e-07	3.716150e-01
2.342002853940925e-05	8.759471e+00	-1.324557e-07	4.045671e-01
2.427170087223983e-05	8.743317e+00	-1.325341e-07	4.373867e-01
2.512337320507041e-05	8.726573e+00	-1.325041e-07	4.700740e-01
2.597504553790100e-05	8.709239e+00	-1.323655e-07	5.026290e-01
2.675837845000000e-05	8.692906e+00	-1.227527e-07	5.324717e-01
2.676137845000000e-05	8.692841e+00	-1.348404e-07	5.325856e-01
2.676537844999999e-05	8.692756e+00	-1.312306e-07	5.327374e-01
2.677337844999998e-05	8.692584e+00	-1.330308e-07	5.330408e-01
2.690735612857150e-05	8.689686e+00	-1.333602e-07	5.381196e-01
2.704133380714302e-05	8.686775e+00	-1.331028e-07	5.431953e-01
2.717531148571454e-05	8.683852e+00	-1.322584e-07	5.482678e-01
2.730928916428606e-05	8.680917e+00	-1.308271e-07	5.533373e-01
2.744326684285758e-05	8.677969e+00	-1.288089e-07	5.584036e-01
2.757724452142910e-05	8.675009e+00	-1.262038e-07	5.634668e-01
2.771122220000061e-05	8.672037e+00	-1.230118e-07	5.685269e-01
2.771422220000061e-05	8.671970e+00	-1.348878e-07	5.686401e-01
2.771822220000060e-05	8.671881e+00	-1.313384e-07	5.687911e-01
2.772622220000060e-05	8.671703e+00	-1.331085e-07	5.690930e-01
2.783822220000046e-05	8.669195e+00	-1.324564e-07	5.733176e-01
2.796622220000031e-05	8.666322e+00	-1.232462e-07	5.781434e-01
2.796922220000030e-05	8.666255e+00	-1.348718e-07	5.782564e-01
2.797322220000030e-05	8.666164e+00	-1.313818e-07	5.784071e-01
2.798122220000029e-05	8.665984e+00	-1.331224e-07	5.787086e-01
2.802922220000023e-05	8.664901e+00	-1.326923e-07	5.805169e-01
2.809322220000016e-05	8.663456e+00	-1.370254e-07	5.829275e-01
2.809922220000015e-05	8.663319e+00	-1.314032e-07	5.831534e-01
2.810722220000014e-05	8.663138e+00	-1.331294e-07	5.834547e-01
2.815922220000008e-05	8.661960e+00	-1.314133e-07	5.854124e-01
2.819122220000004e-05	8.661234e+00	-1.331339e-07	5.866169e-01
2.820722220000002e-05	8.660871e+00	-1.410854e-07	5.872190e-01
2.821022220000002e-05	8.660802e+00	-1.303042e-07	5.873319e-01
2.821422220000001e-05	8.660712e+00	-1.258504e-07	5.874825e-01
2.821922220000001e-05	8.660598e+00	-1.369588e-07	5.876706e-01
2.822022220000000e-05	8.660575e+00	-1.326025e-07	5.877082e-01
2.822222220000000e-05	8.660530e+00	-1.326021e-07	5.877835e-01
2.822322220000000e-05	8.660507e+00	-2.153688e-06	5.878211e-01
2.822332220000000e-05	8.660505e+00	-8.205146e-07	5.878249e-01
2.822352220000000e-05	8.660500e+00	-1.328626e-07	5.878324e-01
2.822382220000000e-05	8.268147e+00	1.783622e-01	5.878435e-01
2.822401657343659e-05	7.123914e+00	4.367546e-01	5.878500e-01
2.822422220000000e-05	4.979018e+00	5.878558e-01	5.878558e-01
2.822428388796902e-05	4.342274e+00	5.878569e-01	5.878569e-01
2.822436613859439e-05	3.557971e+00	5.878582e-01	5.878582e-01
2.822453063984512e-05	2.211132e+00	5.878597e-01	5.878597e-01
2.822485964234658e-05	3.322706e-01	5.878605e-01	5.878605e-01
2.822524783580377e-05	-6.898785e-01	5.878594e-01	5.878594e-01
2.822560995462579e-05	-9.113646e-01	5.878574e-01	5.878574e-01
2.822797339321568e-05	-1.012485e+00	5.878429e-01	5.878429e-01
2.823946450384309e-05	-1.061370e+00	5.877669e-01	5.877669e-01
2.825095561447051e-05	-1.100171e+00	5.876901e-01	5.876902e-01
2.826244672509792e-05	-1.128889e+00	5.876127e-01	5.876128e-01
2.827393783572534e-05	-1.147523e+00	5.875345e-01	5.875346e-01
2.828542894635276e-05	-1.156072e+00	5.874557e-01	5.874557e-01
2.829692005698018e-05	-1.154538e+00	5.873761e-01	5.873761e-01
2.830841116760759e-05	-1.142920e+00	5.872958e-01	5.872958e-01
2.997863814366365e-05	-1.161688e+00	5.756567e-01	5.756567e-01
3.164886511971971e-05	-1.179845e+00	5.639502e-01	5.639502e-01
3.331909209577577e-05	-1.197391e+00	5.521763e-01	5.521763e-01
3.498931907183183e-05	-1.214326e+00	5.403351e-01	5.403351e-01
3.665954604788788e-05	-1.230650e+00	5.284265e-01	5.284265e-01
3.832977302394395e-05	-1.246364e+00	5.164505e-01	5.164505e-01
4.000000000000000e-05	-1.261467e+00	5.044071e-01	5.044071e-01
4.000067952227436e-05	-1.261473e+00	5.044022e-01	5.044022e-01
4.000083856682308e-05	2.370386e+00	-7.442042e+01	5.044014e-01
4.000089403385256e-05	4.262196e+00	-1.549559e+02	5.044019e-01
4.000094122500018e-05	6.520513e+00	-2.009305e+02	5.044030e-01
4.000094728532705e-05	6.521431e+00	-2.009046e+02	5.044032e-01
4.000095334565392e-05	6.523053e+00	-2.007629e+02	5.044033e-01
4.000095940598079e-05	6.525378e+00	-2.005056e+02	5.044035e-01
4.000096546630767e-05	6.528407e+00	-2.001325e+02	5.044037e-01
4.000097152663454e-05	6.532138e+00	-1.996437e+02	5.044038e-01
4.000097758696141e-05	6.536574e+00	-1.990392e+02	5.044040e-01
4.000098364728828e-05	6.541712e+00	-1.983189e+02	5.044042e-01
4.000099000412644e-05	6.564335e+00	-1.726296e+02	5.044044e-01
4.000099312388799e-05	7.289691e+00	-1.188371e+02	5.044044e-01
4.000099461275431e-05	7.790729e+00	-7.885908e+01	5.044045e-01
4.000099646277716e-05	8.194574e+00	-3.774473e+01	5.044045e-01
4.000099784928600e-05	8.352284e+00	-2.011199e+01	5.044046e-01
4.000099975238358e-05	8.460607e+00	-7.288243e+00	5.044047e-01
4.000100000000001e-05	8.468230e+00	-6.239522e+00	5.044047e-01
4.000100020023115e-05	8.473555e+00	-5.722226e+00	5.044047e-01
4.000100060069346e-05	8.483314e+00	-4.807945e+00	5.044047e-01
4.000100140161806e-05	8.498256e+00	-3.440390e+00	5.044047e-01
4.000100300346728e-05	8.515954e+00	-1.846822e+00	5.044048e-01
4.000100620716570e-05	8.528575e+00	-5.701110e-01	5.044049e-01
4.000101202181243e-05	8.530961e+00	-4.358273e-02	5.044051e-01
4.000101946905701e-05	8.530546e+00	7.061201e-03	5.044054e-01
4.000103384375072e-05	8.530684e+00	-1.149257e-03	5.044060e-01
4.000106259313813e-05	8.530599e+00	3.342650e-04	5.044070e-01
4.000112009191296e-05	8.530665e+00	-1.290363e-04	5.044092e-01
4.000123508946263e-05	8.530602e+00	5.648176e-05	5.044135e-01
4.000146508456195e-05	8.530655e+00	-2.667253e-05	5.044220e-01
4.000192507476060e-05	8.530590e+00	1.271620e-05	5.044392e-01
4.000284505515790e-05	8.530626e+00	-6.454725e-06	5.044735e-01
4.000468501595251e-05	8.530534e+00	3.002817e-06	5.045421e-01
4.000836493754172e-05	8.530514e+00	-1.694309e-06	5.046793e-01
4.001572478072014e-05	8.530311e+00	6.464155e-07	5.049537e-01
4.003044446707699e-05	8.530067e+00	-5.219675e-07	5.055025e-01
4.005988383979068e-05	8.529416e+00	6.177773e-08	5.065998e-01
4.011876258521806e-05	8.528273e+00	-2.299203e-07	5.087938e-01
4.023652007607282e-05	8.525815e+00	-8.412947e-08	5.131791e-01
4.047203505778234e-05	8.521016e+00	-1.570831e-07	5.219393e-01
4.094306502120139e-05	8.511084e+00	-1.206839e-07	5.394169e-01
4.188512494803947e-05	8.490778e+00	-1.372619e-07	5.742203e-01
4.334996869803947e-05	8.457765e+00	-1.330045e-07	6.280037e-01
4.481481244803947e-05	8.423280e+00	-1.331209e-07	6.813704e-01
4.627965619803947e-05	8.387258e+00	-1.493326e-07	7.343517e-01
4.675837845000000e-05	8.375186e+00	-1.346677e-07	7.515637e-01
4.726577769607894e-05	8.362033e+00	-1.151022e-05	7.697380e-01
4.726677769607894e-05	8.362061e+00	-5.845097e-06	7.697737e-01
4.726877769607894e-05	8.361956e+00	2.701340e-06	7.698452e-01
4.727277769607895e-05	8.361905e+00	-1.545491e-06	7.699881e-01
4.728077769607897e-05	8.361642e+00	5.714052e-07	7.702740e-01
4.729677769607901e-05	8.361278e+00	-4.854131e-07	7.708457e-01
4.732877769607908e-05	8.360387e+00	4.256920e-08	7.719887e-01
4.739277769607922e-05	8.358764e+00	-2.213831e-07	7.742741e-01
4.752077769607950e-05	8.355345e+00	-8.948458e-08	7.788413e-01
4.777677769608006e-05	8.348646e+00	1.103116e-05	7.879693e-01
4.777777769608006e-05	8.348567e+00	5.482541e-06	7.880049e-01
4.777977769608006e-05	8.348566e+00	-2.920822e-06	7.880762e-01
4.778377769608007e-05	8.348407e+00	1.255035e-06	7.882186e-01
4.779177769608009e-05	8.348248e+00	-8.263935e-07	7.885036e-01
4.780777769608013e-05	8.347772e+00	2.127296e-07	7.890734e-01
4.783977769608020e-05	8.346974e+00	-3.064051e-07	7.902128e-01
4.790377769608034e-05	8.345220e+00	-4.691537e-08	7.924908e-01
4.803177769608062e-05	8.341863e+00	1.080152e-05	7.970451e-01
4.803277769608062e-05	8.341784e+00	5.388710e-06	7.970806e-01
4.803477769608062e-05	8.341782e+00	-2.874178e-06	7.971517e-01
4.803877769608063e-05	8.341624e+00	1.231829e-06	7.972940e-01
4.804677769608065e-05	8.341462e+00	-8.149073e-07	7.975785e-01
4.806277769608069e-05	8.340983e+00	2.068700e-07	7.981474e-01
4.809477769608076e-05	8.340178e+00	-3.036112e-07	7.992849e-01
4.815877769608090e-05	8.338414e+00	-1.080186e-05	8.015597e-01
4.815977769608090e-05	8.338438e+00	-5.563799e-06	8.015952e-01
4.816177769608090e-05	8.338333e+00	2.561603e-06	8.016663e-01
4.816577769608091e-05	8.338277e+00	-1.476108e-06	8.018084e-01
4.817377769608093e-05	8.338012e+00	5.365194e-07	8.020927e-01
4.818977769608096e-05	8.337634e+00	6.589480e-06	8.026611e-01
4.819122219999994e-05	8.337545e+00	3.567082e-06	8.027124e-01
4.819411120783788e-05	8.337517e+00	-1.974365e-06	8.028151e-01
4.819988922351377e-05	8.337312e+00	7.845229e-07	8.030204e-01
4.821144525486555e-05	8.337052e+00	9.498754e-06	8.034309e-01
4.821244525486555e-05	8.336975e+00	5.150214e-06	8.034664e-01
4.821444525486555e-05	8.336971e+00	-2.755783e-06	8.035374e-01
4.821844525486556e-05	8.336815e+00	-7.923320e-06	8.036795e-01
4.821944525486556e-05	8.336837e+00	-4.690306e-06	8.037151e-01
4.822122220000000e-05	8.336740e+00	-4.602925e-06	8.037782e-01
4.822222220000000e-05	8.336762e+00	-1.766020e-07	8.038136e-01
4.822322220000001e-05	8.336687e+00	-2.393508e-03	8.038492e-01
4.822332220000001e-05	8.336707e+00	-8.147914e-04	8.038527e-01
4.822352220000001e-05	8.336703e+00	-4.852700e-07	8.038598e-01
4.822382220000001e-05	7.851108e+00	2.586054e-01	8.038703e-01
4.822398844894681e-05	6.686140e+00	7.071558e-01	8.038757e-01
4.822404112772734e-05	5.980827e+00	8.038772e-01	8.038772e-01
4.822411684243894e-05	4.826566e+00	8.038788e-01	8.038788e-01
4.822422220000001e-05	3.322944e+00	8.038806e-01	8.038806e-01
4.822429595029275e-05	2.418982e+00	8.038813e-01	8.038813e-01
4.822438023634161e-05	1.521639e+00	8.038817e-01	8.038817e-01
4.822454880843932e-05	1.283083e-01	8.038817e-01	8.038817e-01
4.822476764849107e-05	-9.317513e-01	8.038808e-01	8.038808e-01
4.822494025331368e-05	-1.212416e+00	8.038796e-01	8.038796e-01
4.822586650376033e-05	-1.312870e+00	8.038719e-01	8.038720e-01
4.822813782517447e-05	-1.352959e+00	8.038525e-01	8.038526e-01
4.823040914658860e-05	-1.385335e+00	8.038330e-01	8.038330e-01
4.823268046800274e-05	-1.409998e+00	8.038132e-01	8.038132e-01
4.823495178941688e-05	-1.426948e+00	8.037934e-01	8.037934e-01
4.823722311083102e-05	-1.436185e+00	8.037733e-01	8.037733e-01
4.823949443224515e-05	-1.437709e+00	8.037532e-01	8.037532e-01
4.824176575365929e-05	-1.431520e+00	8.037328e-01	8.037329e-01
4.828136101140836e-05	-1.459873e+00	8.033729e-01	8.033729e-01
4.832095626915744e-05	-1.481690e+00	8.030124e-01	8.030124e-01
4.836055152690652e-05	-1.496970e+00	8.026513e-01	8.026513e-01
4.840014678465559e-05	-1.505714e+00	8.022897e-01	8.022897e-01
4.843974204240467e-05	-1.507921e+00	8.019274e-01	8.019274e-01
4.847933730015375e-05	-1.503593e+00	8.015646e-01	8.015646e-01
