time	I(D1)
9.854535980418242e-06	1.479471e-05
9.864314656526848e-06	1.995139e-05
9.873360645428154e-06	2.678545e-05
9.883966627758158e-06	3.955038e-05
9.894878360143183e-06	6.307138e-05
9.904751354716298e-06	1.083675e-04
9.915720422015637e-06	2.298876e-04
9.923261082948549e-06	4.423463e-04
9.929123573093269e-06	8.322119e-04
9.934398115177992e-06	1.322987e-03
9.940074743129474e-06	1.626816e-03
9.942889225332097e-06	1.625161e-03
9.946280545179192e-06	1.616830e-03
9.948669870597997e-06	1.618850e-03
9.951111980081327e-06	1.612801e-03
9.955996199047986e-06	1.620418e-03
9.960766613795600e-06	1.625324e-03
9.968384198437729e-06	1.640051e-03
9.975970352180123e-06	1.658958e-03
9.985706042546200e-06	1.692112e-03
9.996247825183534e-06	1.741076e-03
1.001059841303339e-05	1.848961e-03
1.002715330251537e-05	2.158067e-03
1.005219274423926e-05	3.489643e-03
1.006875768576962e-05	5.248156e-03
1.008594627934829e-05	8.044737e-03
1.009926613510416e-05	1.173382e-02
1.010508929872589e-05	2.536133e-02
1.010770457311454e-05	7.022594e-02
1.010899025608214e-05	1.262413e-01
1.011025523983120e-05	1.970415e-01
1.011152588028492e-05	2.607865e-01
1.011284475138039e-05	3.094715e-01
1.011490607693871e-05	3.529728e-01
1.011698825489447e-05	3.708265e-01
1.012015820976784e-05	3.771231e-01
1.012418113727266e-05	3.792757e-01
1.012985910953136e-05	3.810516e-01
1.013603969243882e-05	3.827419e-01
1.014468497847215e-05	3.847691e-01
1.015435483176217e-05	3.866995e-01
1.016742920086843e-05	3.888287e-01
1.017961650156175e-05	3.904133e-01
1.019405020727786e-05	3.918556e-01
1.020911582340933e-05	3.929934e-01
1.022574487422718e-05	3.938987e-01
1.024338021161187e-05	3.945594e-01
1.026377406241952e-05	3.950309e-01
1.028629932607990e-05	3.953132e-01
1.030877750868088e-05	3.954273e-01
1.033528287125245e-05	3.954422e-01
1.037293698589822e-05	3.953499e-01
1.043092741433021e-05	3.951218e-01
1.049330354097164e-05	3.948230e-01
1.060880831484806e-05	3.942310e-01
1.073619908504220e-05	3.935601e-01
1.092863295063381e-05	3.925375e-01
1.118071313611007e-05	3.911908e-01
1.161394336752306e-05	3.888704e-01
1.245037479118938e-05	3.843760e-01
1.398393036532650e-05	3.761069e-01
1.593705536532650e-05	3.655326e-01
1.789018036532650e-05	3.549224e-01
1.804787500000000e-05	3.540641e-01
1.836326426934699e-05	3.523449e-01
1.899404280804098e-05	3.490513e-01
1.899504280804098e-05	3.489730e-01
1.899704280804098e-05	3.488509e-01
1.900104280804097e-05	3.488709e-01
1.900587908529865e-05	3.488243e-01
1.901555163981401e-05	3.487925e-01
1.903489674884474e-05	3.486770e-01
1.906840455073850e-05	3.484989e-01
1.913542015452602e-05	3.481299e-01
1.926945136210105e-05	3.473992e-01
1.953751377725113e-05	3.460624e-01
1.953851377725113e-05	3.459941e-01
