time	V(N001,Vo)
4.000104062747168e-05	-1.360643e+00
4.000106773133300e-05	-1.360644e+00
4.000112193905564e-05	-1.360646e+00
4.000123035450092e-05	-1.360653e+00
4.000135987205573e-05	-1.360664e+00
4.000154181066757e-05	-1.360688e+00
4.000175085158759e-05	-1.360725e+00
4.000200000000000e-05	-1.360779e+00
4.000202491484124e-05	-1.360785e+00
4.000207474452372e-05	-1.360798e+00
4.000217440388869e-05	-1.360819e+00
4.000237372261863e-05	-1.360851e+00
4.000267969656964e-05	-1.360888e+00
4.000302751470151e-05	-1.360912e+00
4.000334453240874e-05	-1.360927e+00
4.000369590420833e-05	-1.360937e+00
4.000429087360661e-05	-1.360953e+00
4.000485148327557e-05	-1.360984e+00
4.000547936660828e-05	-1.361058e+00
4.000599044704742e-05	-1.361156e+00
4.000654625907240e-05	-1.361286e+00
4.000720650974656e-05	-1.361445e+00
4.000836394472503e-05	-1.361707e+00
4.000968173491609e-05	-1.361958e+00
4.001189113144192e-05	-1.362292e+00
4.001347952513881e-05	-1.362488e+00
4.001498016568044e-05	-1.362643e+00
4.001673631876721e-05	-1.362806e+00
4.001805372758110e-05	-1.362917e+00
4.001899333242813e-05	-1.362988e+00
4.001968368575060e-05	-1.363032e+00
4.002046814130067e-05	-1.363075e+00
4.002143506312661e-05	-1.363126e+00
4.002224459526284e-05	-1.363165e+00
4.002296438332591e-05	-1.363194e+00
4.002383543405311e-05	-1.363226e+00
4.002468962524287e-05	-1.363254e+00
4.002572177061352e-05	-1.363284e+00
4.002693817817442e-05	-1.363317e+00
4.002937099329622e-05	-1.363375e+00
4.003304545693810e-05	-1.362824e+00
4.003917185474575e-05	-1.353402e+00
4.004367307475040e-05	-1.329047e+00
4.004756734523327e-05	-1.286926e+00
4.005251258651530e-05	-1.204943e+00
4.005540085775538e-05	-1.125327e+00
4.005667555572841e-05	-9.704494e-01
4.005728400713996e-05	-5.087795e-01
4.005743670928043e-05	-1.695223e-01
4.005755586334944e-05	1.014433e-01
4.005760324409975e-05	1.585217e-01
4.005763586866511e-05	1.858912e-01
4.005765762275782e-05	2.016459e-01
4.005767859017209e-05	2.160368e-01
4.005770005650820e-05	2.288561e-01
4.005772582163046e-05	2.430162e-01
4.005776679370762e-05	2.624912e-01
4.005783423615147e-05	2.886496e-01
4.005796912103917e-05	3.279467e-01
4.005817338092849e-05	3.702955e-01
4.005853336908722e-05	4.255991e-01
4.005888595822554e-05	4.719696e-01
4.005959113650219e-05	5.598030e-01
4.006056397899786e-05	6.795216e-01
4.006250966398921e-05	9.145880e-01
4.006640103397191e-05	1.365229e+00
4.007418377393731e-05	2.176805e+00
4.008731876395289e-05	3.280964e+00
4.010498861751486e-05	4.383982e+00
4.012178953484006e-05	5.205211e+00
4.013946692884407e-05	5.979710e+00
4.016378569538310e-05	6.990282e+00
4.019237398786589e-05	8.046897e+00
4.019914691817816e-05	8.194499e+00
4.020724712570291e-05	8.258488e+00
4.021151809196265e-05	8.279122e+00
4.021661005303746e-05	8.295928e+00
4.022085368285738e-05	8.306724e+00
4.022542662490584e-05	8.315896e+00
4.023057063633529e-05	8.324188e+00
4.023533577023666e-05	8.330433e+00
4.024138619227032e-05	8.336855e+00
4.024718042653624e-05	8.341888e+00
4.025446986250903e-05	8.346998e+00
4.026194429069426e-05	8.351239e+00
4.027132451580111e-05	8.355472e+00
4.028118172654370e-05	8.358989e+00
4.029394063886460e-05	8.362512e+00
4.030722381888767e-05	8.365308e+00
4.032517244053605e-05	8.368078e+00
4.034565906397849e-05	8.370295e+00
4.037634527186111e-05	8.372388e+00
4.041624850803168e-05	8.373838e+00
4.047684103888129e-05	8.374563e+00
4.054001049845809e-05	8.374293e+00
4.062701576688652e-05	8.372996e+00
4.072857429816585e-05	8.370882e+00
4.087524063488207e-05	8.367342e+00
4.105587426635685e-05	8.362706e+00
4.134190143389112e-05	8.355164e+00
4.175494203116195e-05	8.344101e+00
4.258102322570361e-05	8.321489e+00
4.423318561478694e-05	8.274829e+00
4.618631061478694e-05	8.217567e+00
4.784887500000001e-05	8.167278e+00
4.784987500000001e-05	8.167255e+00
4.785187500000001e-05	8.167205e+00
4.785481962708995e-05	8.167110e+00
4.785789197723289e-05	8.167017e+00
4.786380362509227e-05	8.166830e+00
4.787087497095248e-05	8.166611e+00
