time	V(n003)
2.298734743542554e-04	0.000000e+00
2.298856328601268e-04	0.000000e+00
2.298969171904612e-04	0.000000e+00
2.299047792665760e-04	0.000000e+00
2.299161501456575e-04	0.000000e+00
2.299255206264780e-04	0.000000e+00
2.299357351711838e-04	0.000000e+00
2.299401252959582e-04	0.000000e+00
2.299441414777604e-04	0.000000e+00
2.299469309020365e-04	0.000000e+00
2.299495213573969e-04	0.000000e+00
2.299525120475594e-04	0.000000e+00
2.299558497263052e-04	0.000000e+00
2.299625250837968e-04	0.000000e+00
2.299696728235270e-04	0.000000e+00
2.299814122966714e-04	0.000000e+00
2.299930623225834e-04	0.000000e+00
2.300093316478970e-04	0.000000e+00
2.300281431646064e-04	0.000000e+00
2.300462995307396e-04	0.000000e+00
2.300608467161642e-04	0.000000e+00
2.300748992063806e-04	0.000000e+00
2.300808361593549e-04	0.000000e+00
2.300845782160154e-04	0.000000e+00
2.300865643698964e-04	0.000000e+00
2.300875303990536e-04	0.000000e+00
2.300882066736244e-04	0.000000e+00
2.300889442393112e-04	0.000000e+00
2.300898484319533e-04	0.000000e+00
2.300912945316121e-04	0.000000e+00
2.300931068854831e-04	0.000000e+00
2.300954049562116e-04	0.000000e+00
2.300977488952229e-04	0.000000e+00
2.301013649407860e-04	0.000000e+00
2.301047776386517e-04	0.000000e+00
2.301094470456729e-04	0.000000e+00
2.301143626988251e-04	0.000000e+00
2.301218839884611e-04	0.000000e+00
2.301327532147987e-04	0.000000e+00
2.301457402618860e-04	0.000000e+00
2.301578413306812e-04	0.000000e+00
2.301718508928242e-04	0.000000e+00
2.301868915167257e-04	0.000000e+00
2.302035981392150e-04	0.000000e+00
2.302212943739003e-04	0.000000e+00
2.302400313234827e-04	0.000000e+00
2.302634764216940e-04	0.000000e+00
2.302877640584632e-04	0.000000e+00
2.303102834506388e-04	0.000000e+00
2.303408237919938e-04	0.000000e+00
2.303877092062553e-04	0.000000e+00
2.304490882744004e-04	0.000000e+00
2.305358934522634e-04	0.000000e+00
2.306476031777786e-04	0.000000e+00
2.308107678269282e-04	0.000000e+00
2.310288607482956e-04	0.000000e+00
2.313823108649094e-04	0.000000e+00
2.318705921149094e-04	0.000000e+00
2.323588733649094e-04	0.000000e+00
