time	I(L1)
2.005489850685807e-05	3.431226e-01
2.005498508889755e-05	3.431227e-01
2.005504096963807e-05	3.431228e-01
2.005507744661132e-05	3.431229e-01
2.005510661083694e-05	3.431230e-01
2.005513719635047e-05	3.431230e-01
2.005516506432515e-05	3.431231e-01
2.005520080275137e-05	3.431232e-01
2.005524717477146e-05	3.431233e-01
2.005531524816923e-05	3.431234e-01
2.005543062486595e-05	3.431237e-01
2.005562256138206e-05	3.431241e-01
2.005598867495440e-05	3.431250e-01
2.005660246663937e-05	3.431268e-01
2.005783005000931e-05	3.431311e-01
2.005988851330222e-05	3.431406e-01
2.006400543988805e-05	3.431685e-01
2.007223929305971e-05	3.432511e-01
2.008398421383641e-05	3.434183e-01
2.010000413100660e-05	3.437173e-01
2.011753828615894e-05	3.441147e-01
2.013419328170648e-05	3.445580e-01
2.015679391821915e-05	3.452565e-01
2.018661890729136e-05	3.462846e-01
2.019375946066572e-05	3.465489e-01
2.020070761828290e-05	3.468149e-01
2.020403104832052e-05	3.469426e-01
2.020710203850721e-05	3.470607e-01
2.020929132406872e-05	3.471450e-01
2.021129130776691e-05	3.472220e-01
2.021332505700328e-05	3.473004e-01
2.021518475461214e-05	3.473721e-01
2.021727683836258e-05	3.474528e-01
2.021951141264710e-05	3.475389e-01
2.022213925289739e-05	3.476403e-01
2.022530244881488e-05	3.477624e-01
2.022931489195371e-05	3.479173e-01
2.023431482866914e-05	3.481104e-01
2.024144175682278e-05	3.483858e-01
2.024996013224277e-05	3.487151e-01
2.026699688308275e-05	3.493739e-01
2.028885160772843e-05	3.502194e-01
2.032243819491067e-05	3.515191e-01
2.036065511179863e-05	3.529982e-01
2.039968062113774e-05	3.545087e-01
2.044830933987456e-05	3.563908e-01
2.051101499438567e-05	3.588172e-01
2.058776039318394e-05	3.617860e-01
2.068581611474089e-05	3.655776e-01
2.081217145984108e-05	3.704605e-01
2.097801547183040e-05	3.768640e-01
2.122133607558134e-05	3.862476e-01
2.158452996837680e-05	4.002270e-01
2.221913475054507e-05	4.245682e-01
2.348834431488161e-05	4.729610e-01
2.544146931488161e-05	5.468069e-01
2.739459431488161e-05	6.200410e-01
2.784887500000000e-05	6.369392e-01
2.875743637023676e-05	6.705635e-01
2.875843637023676e-05	6.706005e-01
2.876043637023676e-05	6.706742e-01
2.876443637023675e-05	6.708217e-01
2.877194586955393e-05	6.710986e-01
2.878678494882594e-05	6.716458e-01
2.881646310736996e-05	6.727398e-01
2.887581942445801e-05	6.749272e-01
2.899453205863410e-05	6.792988e-01
2.923195732698628e-05	6.880350e-01
2.932714946329563e-05	6.915340e-01
