time,Vvrain,Vvgate,Vn004,-IR1,IM1
3.786086500578599e-06,5.091076e+01,4.775136e-01,0.000000e+00,-2.857897e-06,1.992252e-07
3.786307929150041e-06,5.091075e+01,4.775112e-01,0.000000e+00,-2.857613e-06,1.990749e-07
3.786529357721483e-06,5.091075e+01,4.775088e-01,0.000000e+00,-2.857329e-06,1.989247e-07
3.786750786292925e-06,5.091075e+01,4.775064e-01,0.000000e+00,-2.857044e-06,1.987745e-07
3.786972214864367e-06,5.091075e+01,4.775040e-01,0.000000e+00,-2.856760e-06,1.986243e-07
3.787023777364405e-06,5.091075e+01,4.775034e-01,0.000000e+00,-2.856694e-06,1.985883e-07
3.787033152364422e-06,5.091075e+01,4.775033e-01,0.000000e+00,-2.856682e-06,1.985834e-07
3.787064402364405e-06,5.091075e+01,4.775029e-01,0.000000e+00,-2.856642e-06,1.985621e-07
3.787095652364389e-06,5.091075e+01,4.775026e-01,0.000000e+00,-2.856602e-06,1.985408e-07
3.787126902364372e-06,5.091075e+01,4.775022e-01,0.000000e+00,-2.856561e-06,1.985195e-07
3.787158152364356e-06,5.091075e+01,4.775019e-01,0.000000e+00,-2.856521e-06,1.984983e-07
3.787189402364340e-06,5.091075e+01,4.775016e-01,0.000000e+00,-2.856481e-06,1.984771e-07
3.787220652364323e-06,5.091075e+01,4.775012e-01,0.000000e+00,-2.856441e-06,1.984560e-07
3.787251902364307e-06,5.091075e+01,4.775009e-01,0.000000e+00,-2.856401e-06,1.984349e-07
3.788455027364541e-06,5.091074e+01,4.774877e-01,0.000000e+00,-2.854858e-06,1.976196e-07
3.788473777364466e-06,5.091074e+01,4.774875e-01,0.000000e+00,-2.854834e-06,1.976068e-07
3.788648777364526e-06,5.091074e+01,4.774856e-01,0.000000e+00,-2.854609e-06,1.974884e-07
3.788856813078848e-06,5.091073e+01,4.774833e-01,0.000000e+00,-2.854343e-06,1.973477e-07
3.789064848793169e-06,5.091073e+01,4.774811e-01,0.000000e+00,-2.854076e-06,1.972070e-07
3.789272884507491e-06,5.091073e+01,4.774788e-01,0.000000e+00,-2.853809e-06,1.970662e-07
3.789480920221813e-06,5.091073e+01,4.774765e-01,0.000000e+00,-2.853543e-06,1.969253e-07
3.789688955936135e-06,5.091073e+01,4.774742e-01,0.000000e+00,-2.853276e-06,1.967844e-07
3.789896991650456e-06,5.091073e+01,4.774720e-01,0.000000e+00,-2.853010e-06,1.966434e-07
3.790105027364778e-06,5.091072e+01,4.774697e-01,0.000000e+00,-2.852743e-06,1.965023e-07
3.790257705936232e-06,5.091072e+01,4.774680e-01,0.000000e+00,-2.852548e-06,1.963993e-07
3.790410384507685e-06,5.091072e+01,4.774663e-01,0.000000e+00,-2.852352e-06,1.962963e-07
3.790563063079139e-06,5.091072e+01,4.774646e-01,0.000000e+00,-2.852156e-06,1.961932e-07
3.790715741650592e-06,5.091072e+01,4.774630e-01,0.000000e+00,-2.851961e-06,1.960900e-07
3.790868420222046e-06,5.091072e+01,4.774613e-01,0.000000e+00,-2.851766e-06,1.959868e-07
3.791021098793499e-06,5.091072e+01,4.774597e-01,0.000000e+00,-2.851570e-06,1.958835e-07
3.791173777364953e-06,5.091071e+01,4.774580e-01,0.000000e+00,-2.851375e-06,1.957802e-07
3.791273777364987e-06,5.091071e+01,4.774569e-01,0.000000e+00,-2.851247e-06,1.957143e-07
3.791275339865008e-06,5.091071e+01,4.774569e-01,0.000000e+00,-2.851245e-06,1.957133e-07
3.791278464865050e-06,5.091071e+01,4.774568e-01,0.000000e+00,-2.851241e-06,1.957100e-07
3.791279246115006e-06,5.091071e+01,4.774568e-01,0.000000e+00,-2.851240e-06,1.957089e-07
3.791280808615027e-06,5.091071e+01,4.774568e-01,0.000000e+00,-2.851238e-06,1.957070e-07
3.791283933615068e-06,5.091071e+01,4.774568e-01,0.000000e+00,-2.851234e-06,1.957053e-07
3.791290183615043e-06,5.091071e+01,4.774567e-01,0.000000e+00,-2.851226e-06,1.957024e-07
3.791333933614977e-06,5.091071e+01,4.774562e-01,0.000000e+00,-2.851170e-06,1.956726e-07
3.791346433614927e-06,5.091071e+01,4.774561e-01,0.000000e+00,-2.851154e-06,1.956950e-07
3.791346482443056e-06,5.091071e+01,4.774561e-01,0.000000e+00,-2.851154e-06,1.956910e-07
3.791346580099314e-06,5.091071e+01,4.774561e-01,0.000000e+00,-2.851154e-06,1.956776e-07
3.791346775411830e-06,5.091071e+01,4.774561e-01,0.000000e+00,-2.851153e-06,1.956731e-07
3.791347166036863e-06,5.091071e+01,4.774561e-01,0.000000e+00,-2.851153e-06,1.956813e-07
3.791347947286819e-06,5.091071e+01,4.774561e-01,0.000000e+00,-2.851152e-06,1.956715e-07
3.791349509786840e-06,5.091071e+01,4.774561e-01,0.000000e+00,-2.851150e-06,1.956640e-07
3.791352634786881e-06,5.091071e+01,4.774560e-01,0.000000e+00,-2.851146e-06,1.956579e-07
3.791371384786807e-06,5.091071e+01,4.774558e-01,0.000000e+00,-2.851122e-06,1.956463e-07
3.792151853537090e-06,5.091071e+01,4.774473e-01,0.000000e+00,-2.850123e-06,1.951206e-07
3.792153416037111e-06,5.091071e+01,4.774473e-01,0.000000e+00,-2.850121e-06,1.951123e-07
3.792153464865240e-06,5.091071e+01,4.774473e-01,0.000000e+00,-2.850121e-06,1.951326e-07
