time,IL1
2.009989786385545e-05,3.431363e-01
2.011745285459836e-05,3.435327e-01
2.013408132101798e-05,3.439738e-01
2.015665515094807e-05,3.446696e-01
2.018643319533464e-05,3.456937e-01
2.019364036037939e-05,3.459599e-01
2.020065254637762e-05,3.462279e-01
2.020402620053460e-05,3.463573e-01
2.020713760283014e-05,3.464768e-01
2.020934887816426e-05,3.465618e-01
2.021136175263913e-05,3.466392e-01
2.021340928362970e-05,3.467179e-01
2.021527242149039e-05,3.467896e-01
2.021736368139616e-05,3.468701e-01
2.021958935791445e-05,3.469558e-01
2.022219529689731e-05,3.470562e-01
2.022532363617405e-05,3.471768e-01
2.022927036045672e-05,3.473289e-01
2.023418336765857e-05,3.475183e-01
2.024112556722785e-05,3.477861e-01
2.024958457172882e-05,3.481125e-01
2.026633157857687e-05,3.487590e-01
2.028824312929664e-05,3.496052e-01
2.032186971611908e-05,3.509042e-01
2.036018832245887e-05,3.523848e-01
2.039899889666132e-05,3.538844e-01
2.044750174276573e-05,3.557583e-01
2.050995839840081e-05,3.581709e-01
2.058654752303939e-05,3.611285e-01
2.068414130616579e-05,3.648956e-01
2.081013441415905e-05,3.697559e-01
2.097505607860254e-05,3.761124e-01
2.121731888180578e-05,3.854383e-01
2.157756696759866e-05,3.992786e-01
2.220682316833068e-05,4.233679e-01
2.346533556979472e-05,4.712116e-01
2.598236037272281e-05,5.662737e-01
2.598336037272281e-05,5.663112e-01
2.598536037272281e-05,5.663860e-01
2.598936037272280e-05,5.665357e-01
2.599619573309318e-05,5.667914e-01
2.600986645383394e-05,5.673027e-01
2.603720789531547e-05,5.683252e-01
2.609189077827851e-05,5.703695e-01
2.620125654420460e-05,5.744556e-01
2.641998807605678e-05,5.826172e-01
2.685745113976115e-05,5.988982e-01
2.773237726716987e-05,6.313645e-01
2.805214774518255e-05,6.431872e-01
2.869168870120789e-05,6.667625e-01
2.869268870120789e-05,6.667994e-01
2.869468870120789e-05,6.668729e-01
2.869868870120788e-05,6.670200e-01
2.870568205561860e-05,6.672770e-01
2.871966876444003e-05,6.677912e-01
2.874764218208288e-05,6.688194e-01
2.880358901736860e-05,6.708750e-01
2.891548268794002e-05,6.749833e-01
2.913927002908288e-05,6.831917e-01
2.935442531771429e-05,6.910760e-01
2.937168942273717e-05,6.917081e-01
2.940621763278295e-05,6.929717e-01
2.947527405287449e-05,6.954977e-01
2.961338689305757e-05,7.005477e-01
2.961438689305757e-05,7.005842e-01
2.961638689305757e-05,7.006573e-01
2.962038689305756e-05,7.008035e-01
2.962737267976120e-05,7.010587e-01
2.964134425316849e-05,7.015692e-01
2.966928739998305e-05,7.025900e-01
2.972517369361217e-05,7.046312e-01
2.972617369361217e-05,7.046677e-01
2.972817369361217e-05,7.047408e-01
2.973217369361216e-05,7.048868e-01
2.973912788651712e-05,7.051407e-01
2.975303627232703e-05,7.056485e-01
2.977418322838017e-05,7.064205e-01
2.977518322838017e-05,7.064570e-01
2.977718322838017e-05,7.065300e-01
2.978118322838016e-05,7.066761e-01
2.978815872154147e-05,7.069306e-01
2.978915872154147e-05,7.069672e-01
2.979115872154147e-05,7.070402e-01
2.979515872154147e-05,7.071862e-01
2.979615872154146e-05,7.072226e-01
2.979815872154146e-05,7.072957e-01
2.979915872154146e-05,7.073321e-01
2.980000000000000e-05,7.073628e-01
2.980031744308292e-05,7.073745e-01
2.980095232924876e-05,7.073976e-01
2.980200000000000e-05,7.074358e-01
2.980210000000000e-05,7.074395e-01
2.980230000000000e-05,7.074468e-01
2.980259999999999e-05,7.074577e-01
2.980300000000000e-05,7.074723e-01
2.980304000000000e-05,7.074738e-01
2.980311999999999e-05,7.074767e-01
2.980327999999999e-05,7.074826e-01
2.980360000000000e-05,7.074943e-01
2.980408767479632e-05,7.075120e-01
2.980479078544940e-05,7.075377e-01
2.980571061411969e-05,7.075713e-01
2.980602017182136e-05,7.075826e-01
2.980620620982222e-05,7.075894e-01
2.980641685491327e-05,7.075971e-01
2.980657542903448e-05,7.076029e-01
2.980673256262671e-05,7.076086e-01
2.980694258283709e-05,7.076163e-01
2.980716317634955e-05,7.076243e-01
2.980751359917838e-05,7.076371e-01
2.980784557244488e-05,7.076492e-01
2.980843818525297e-05,7.076708e-01
2.980908585536725e-05,7.076945e-01
2.981030448316427e-05,7.077389e-01
2.981135153429769e-05,7.077771e-01
2.981223578587070e-05,7.078094e-01
2.981331557456926e-05,7.078488e-01
2.981430737888948e-05,7.078850e-01
2.981529202369277e-05,7.079210e-01
2.981705660036326e-05,7.079853e-01
2.982008707599360e-05,7.080960e-01
2.982405003616782e-05,7.082406e-01
2.982828562108989e-05,7.083951e-01
2.983385106360377e-05,7.085982e-01
2.983946319079537e-05,7.088029e-01
2.984682105930014e-05,7.090711e-01
2.985453984262809e-05,7.093523e-01
2.986433945881725e-05,7.097091e-01
2.987340454307457e-05,7.100388e-01
2.988542373746405e-05,7.104751e-01
2.989628423099462e-05,7.108684e-01
2.990497921155883e-05,7.111819e-01
2.991634263079324e-05,7.115892e-01
2.992459041024533e-05,7.118814e-01
2.993179466510423e-05,7.121322e-01
2.993758113876328e-05,7.123295e-01
2.994003804169537e-05,7.124115e-01
2.994323819370185e-05,7.125164e-01
2.994565313164851e-05,7.125946e-01
2.994799888458646e-05,7.126693e-01
2.995269039046235e-05,7.128155e-01
2.995925638371030e-05,7.130147e-01
2.996571310811501e-05,7.132035e-01
2.997494495397525e-05,7.134618e-01
2.998398789507287e-05,7.137007e-01
2.999788700000611e-05,7.140419e-01
3.001139116867469e-05,7.143406e-01
3.003304553606899e-05,7.147443e-01
3.005785316712339e-05,7.150971e-01
3.007413173835523e-05,7.152331e-01
3.008839706731895e-05,7.152696e-01
3.009433951238922e-05,7.152587e-01
3.009731656256664e-05,7.152447e-01
3.009850093570042e-05,7.152377e-01
3.009937040439180e-05,7.152320e-01
3.010028923223626e-05,7.152259e-01
3.010190234567985e-05,7.152148e-01
3.010371628992529e-05,7.152020e-01
3.010572233394768e-05,7.151875e-01
3.010844104677082e-05,7.151675e-01
3.011133637201722e-05,7.151459e-01
3.011553049232096e-05,7.151144e-01
3.012089124873989e-05,7.150737e-01
3.012664470741434e-05,7.150297e-01
3.013512000536672e-05,7.149643e-01
3.014581242029907e-05,7.148815e-01
3.015762080504538e-05,7.147896e-01
3.017023748745217e-05,7.146911e-01
3.018459055957181e-05,7.145787e-01
3.019963523811144e-05,7.144606e-01
3.021684264251943e-05,7.143253e-01
3.023387798386409e-05,7.141913e-01
3.025582584924369e-05,7.140183e-01
3.027842234918704e-05,7.138402e-01
3.030085389014305e-05,7.136633e-01
3.032556704683561e-05,7.134684e-01
3.036185066546451e-05,7.131820e-01
3.041254333944255e-05,7.127818e-01
3.048572937477481e-05,7.122037e-01
3.057358872657915e-05,7.115094e-01
3.071312315470754e-05,7.104059e-01
3.088392849722839e-05,7.090539e-01
3.113649969340998e-05,7.070517e-01
3.155091660764958e-05,7.037590e-01
3.229965965240653e-05,6.977853e-01
3.379714574192044e-05,6.857474e-01
3.673027722171152e-05,6.620071e-01
3.673127722171153e-05,6.619989e-01
3.673327722171153e-05,6.619826e-01
3.673727722171154e-05,6.619499e-01
3.674265318100803e-05,6.619059e-01
3.675285982009385e-05,6.618226e-01
3.677327309826550e-05,6.616557e-01
3.681409965460879e-05,6.613221e-01
3.689549940151117e-05,6.606565e-01
3.705829889531592e-05,6.593244e-01
3.738389788292541e-05,6.566564e-01
3.803509585814440e-05,6.513090e-01
3.869860404956202e-05,6.458501e-01
3.869960404956202e-05,6.458418e-01
3.870160404956203e-05,6.458253e-01
3.870560404956203e-05,6.457924e-01
3.871024351270478e-05,6.457541e-01
3.871952243899026e-05,6.456776e-01
3.873808029156124e-05,6.455245e-01
3.877519599670318e-05,6.452184e-01
3.884942740698705e-05,6.446059e-01
3.899789022755482e-05,6.433801e-01
3.929481586869034e-05,6.409268e-01
3.940714871772895e-05,6.399979e-01
3.963181441580615e-05,6.381388e-01
3.963281441580615e-05,6.381305e-01
3.963481441580616e-05,6.381139e-01
3.963881441580617e-05,6.380808e-01
3.964360966457072e-05,6.380411e-01
3.965320016209983e-05,6.379617e-01
3.967238115715804e-05,6.378028e-01
3.971074314727446e-05,6.374851e-01
3.978746712750729e-05,6.368494e-01
3.984755203953432e-05,6.363515e-01
3.988083017594594e-05,6.360757e-01
3.993444372717677e-05,6.356313e-01
3.993544372717678e-05,6.356230e-01
3.993744372717678e-05,6.356063e-01
3.994144372717679e-05,6.355732e-01
3.994638266004352e-05,6.355323e-01
3.995626052577699e-05,6.354504e-01
3.997601625724391e-05,6.352865e-01
3.997701625724391e-05,6.352782e-01
3.997901625724391e-05,6.352617e-01
3.998301625724392e-05,6.352285e-01
3.998808018516076e-05,6.351865e-01
3.999087214416632e-05,6.351633e-01
3.999541608198888e-05,6.351256e-01
3.999641608198888e-05,6.351174e-01
3.999841608198888e-05,6.351008e-01
3.999941608198889e-05,6.350925e-01
4.000000000000000e-05,6.350876e-01
4.000100000000000e-05,6.350793e-01
4.000100219943853e-05,6.350793e-01
4.000100659831559e-05,6.350793e-01
4.000101539606971e-05,6.350792e-01
4.000102585462980e-05,6.350791e-01
4.000104364595502e-05,6.350790e-01
4.000107922860546e-05,6.350787e-01
4.000115039390634e-05,6.350781e-01
4.000126663687289e-05,6.350771e-01
4.000141149974559e-05,6.350759e-01
4.000160145416257e-05,6.350744e-01
4.000177399732898e-05,6.350729e-01
4.000200000000000e-05,6.350710e-01
4.000202260026710e-05,6.350709e-01
4.000206780080131e-05,6.350705e-01
4.000215820186972e-05,6.350697e-01
4.000233900400654e-05,6.350682e-01
4.000265773874723e-05,6.350656e-01
4.000299666479001e-05,6.350628e-01
4.000332204315507e-05,6.350601e-01
4.000365890285288e-05,6.350573e-01
4.000423480180374e-05,6.350525e-01
4.000481957218340e-05,6.350477e-01
4.000541858002765e-05,6.350427e-01
4.000601095919636e-05,6.350378e-01
4.000654603242991e-05,6.350333e-01
4.000721402366933e-05,6.350278e-01
4.000831550697346e-05,6.350186e-01
4.000965198976699e-05,6.350076e-01
4.001182632860941e-05,6.349895e-01
4.001342307054299e-05,6.349763e-01
4.001492690593251e-05,6.349638e-01
4.001669171437218e-05,6.349491e-01
4.001802602183372e-05,6.349381e-01
4.001897531907427e-05,6.349301e-01
4.001966733116896e-05,6.349244e-01
4.002045792914348e-05,6.349179e-01
4.002140577899308e-05,6.349100e-01
4.002220613298617e-05,6.349033e-01
4.002291815109008e-05,6.348974e-01
4.002379365860270e-05,6.348901e-01
4.002468550719454e-05,6.348827e-01
4.002571192222726e-05,6.348742e-01
4.002690939384183e-05,6.348643e-01
4.002930433707096e-05,6.348444e-01
4.003299426860785e-05,6.348137e-01
4.003904911247474e-05,6.347635e-01
4.004356315521394e-05,6.347265e-01
4.004744703048434e-05,6.346952e-01
4.005240128627798e-05,6.346565e-01
