time	V(N001,Vo)
9.975967967498783e-06	7.025764e+00
9.985699584329438e-06	6.691929e+00
9.996242139513685e-06	6.329283e+00
1.001058695458389e-05	5.827743e+00
1.002714126472505e-05	5.197345e+00
1.005217097916567e-05	4.031594e+00
1.006873672414280e-05	2.966931e+00
1.008592503063318e-05	1.523474e+00
1.009927951171701e-05	2.413015e-01
1.010510748615316e-05	-3.447590e-01
1.010772073570582e-05	-5.815382e-01
1.010900660283779e-05	-6.610613e-01
1.011027327000201e-05	-7.083244e-01
1.011155046476672e-05	-7.427874e-01
1.011286597356101e-05	-7.680893e-01
1.011493110573419e-05	-7.958307e-01
1.011701828487017e-05	-8.148746e-01
1.012019942871138e-05	-8.338461e-01
1.012424774253115e-05	-8.500633e-01
1.012991209520355e-05	-8.653994e-01
1.013608529191877e-05	-8.768883e-01
1.014479269983553e-05	-8.880291e-01
1.015444946851916e-05	-8.965788e-01
1.016757907325849e-05	-9.045486e-01
1.017973148458133e-05	-9.096680e-01
1.019422617762804e-05	-9.138708e-01
1.020925834052387e-05	-9.169283e-01
1.022594879512565e-05	-9.192848e-01
1.024354091320577e-05	-9.210024e-01
1.026404683435520e-05	-9.223680e-01
1.028655114140024e-05	-9.233875e-01
1.030899327704277e-05	-9.240780e-01
1.033558045742167e-05	-9.246359e-01
1.037336508296178e-05	-9.251852e-01
1.043167267493422e-05	-9.258099e-01
1.049430737424204e-05	-9.263620e-01
1.061042071011086e-05	-9.273024e-01
1.073804192996469e-05	-9.283152e-01
1.093138416848825e-05	-9.298391e-01
1.118457814567114e-05	-9.318247e-01
1.162121316163404e-05	-9.352179e-01
1.246387959611728e-05	-9.416637e-01
1.400992775785963e-05	-9.531260e-01
1.710202408134432e-05	-9.753838e-01
1.710302408134432e-05	-9.753885e-01
1.710502408134432e-05	-9.753971e-01
1.710902408134431e-05	-9.754267e-01
1.711389274824207e-05	-9.754591e-01
1.712363008203757e-05	-9.755268e-01
1.714310474962858e-05	-9.756613e-01
1.717706820648942e-05	-9.758949e-01
1.724499512021110e-05	-9.763613e-01
1.738084894765445e-05	-9.772911e-01
1.765255660254116e-05	-9.791403e-01
1.819597191231457e-05	-9.828014e-01
1.891416938045317e-05	-9.876013e-01
1.891516938045317e-05	-9.876051e-01
1.891716938045317e-05	-9.876146e-01
1.892116938045317e-05	-9.876423e-01
1.892576373252393e-05	-9.876728e-01
1.893495243666545e-05	-9.877338e-01
1.895332984494850e-05	-9.878550e-01
1.898760203753689e-05	-9.880800e-01
1.905614642271368e-05	-9.885311e-01
1.919323519306725e-05	-9.894295e-01
1.946741273377438e-05	-9.912262e-01
1.946841273377438e-05	-9.912300e-01
1.947041273377437e-05	-9.912395e-01
1.947441273377437e-05	-9.912672e-01
1.947916607105472e-05	-9.912977e-01
1.948867274561542e-05	-9.913597e-01
1.950768609473681e-05	-9.914827e-01
1.954571279297960e-05	-9.917297e-01
1.962176618946518e-05	-9.922228e-01
1.977387298243634e-05	-9.932041e-01
1.977487298243634e-05	-9.932127e-01
1.977687298243633e-05	-9.932280e-01
1.978087298243633e-05	-9.932528e-01
1.978577061280366e-05	-9.932852e-01
1.979556587353832e-05	-9.933481e-01
1.981515639500765e-05	-9.934750e-01
1.985433743794631e-05	-9.937267e-01
1.992263791412269e-05	-9.941635e-01
1.992363791412269e-05	-9.941711e-01
1.992563791412269e-05	-9.941864e-01
1.992963791412268e-05	-9.942112e-01
1.993466720212612e-05	-9.942446e-01
1.994472577813299e-05	-9.943085e-01
1.996484293014673e-05	-9.944353e-01
1.996584293014673e-05	-9.944429e-01
1.996784293014672e-05	-9.944582e-01
1.997184293014672e-05	-9.944830e-01
1.997698990106017e-05	-9.945164e-01
